海豹,あざらし
海驢・葦鹿,あしか
洗熊・浣熊,あらいぐま
蟻食・食蟻獣,ありくい
鼬・鼬鼠,いたち
海豚,いるか
襟巻蜥蜴,えりまきとかげ
御玉杓子,おたまじゃくし
膃肭臍,おっとせい
河馬,かば
蝦蟇・蟇,がま
氈鹿・羚羊,かもしか
川獺・獺,かわうそ
麒麟,きりん
鯨,くじら
蝙蝠,こうもり
犀,さい
山椒魚,さんしょううお
縞馬・斑馬,しまうま
縞蛇,しまへび
麝香猫,じゃこうねこ
鯱,しゃち
儒艮,じゅごん
鼈,すっぽん
海象・海馬,セイウチ
穿山甲,せんざんこう
玳瑁,たいまい
貂・黄鼬,てん
蜥蜴・石竜子,とかげ
海馬,とど
馴鹿,トナカイ
樹懶,なまけもの
鼠,ねずみ
獏・貘,ばく
波布・飯匙倩,はぶ
日計・竹根蛇,ひばかり
豹,ひょう
蝮,まむし
土竜,もぐら
山羊・野羊,やぎ
山荒・豪猪,やまあらし
赤楝蛇・山楝蛇,やまかがし
山鼠・冬眠鼠,やまね
守宮・家守,やもり
駱駝,らくだ
猟虎・海獺・獺虎,ラッコ
騾馬,らば
栗鼠,りす
驢馬,ろば
鰐,わに
