藍子,あいご
鮎魚女・鮎並,あいなめ
鰺（鯵）,あじ
鮎・年魚・香魚,あゆ
鮟鱇,あんこう
鼬魚,いたちうお
鰯・鰮,いわし
岩魚・嘉魚,いわな
鰻,うなぎ
海鷂魚,えい
狗母魚,えそ
追河,おいかわ
虎魚,おこぜ
鰍・杜父魚,かじか
鰹・堅魚・松魚,かつお
梭魚・梭子魚,かます
鰈,かれい
皮剥,かわはぎ
鱚,きす
鯉,こい
鯒・牛尾魚,こち
鯖,さば
鮫,さめ
鰆,さわら
秋刀魚,さんま
柳葉魚,ししゃも
鱸,すずき
鯛,たい
駄津,だつ
鱈・大口魚,たら
蝶鮫,ちょうざめ
泥鰌・鰌,どじょう
鯰,なまず
鰊・鯡,にしん
沙魚・鯊・蝦虎魚,はぜ
鰰・雷魚・燭魚,はたはた
鱧,はも
針魚,はりよ
鱶,ふか
河豚・鰒,ふぐ
鮒,ふな
鰤,ぶり
鯔・鰡,ぼら
鮪,まぐろ
鱒,ます
翻車魚,まんぼう
目高,めだか
山女・山女魚,やまめ
公魚・若鷺,わかさぎ
藁素坊,わらすぼ
